,CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1
97,1.76803,0.01801,0.0187439,3.52836e-05
98,1.78605,0.0182,0.0186859,4.00689e-05
99,1.80425,0.01838,0.0187839,3.86884e-05
100,1.82263,0.01857,0.0187907,3.91876e-05
101,1.8412,0.01876,0.0187814,4.2902500000000005e-05
102,1.85996,0.01895,0.0189088,4.4488899999999993e-05
103,1.87891,0.01914,0.0189102,4.42225e-05
104,1.89806,0.01934,0.0187315,4.761e-05
105,1.9174,0.01954,0.0190532,4.802490000000001e-05
106,1.93693,0.01954,0.0191165,5.5651599999999994e-05
107,2.03455,0.02106,0.0187517,6.69124e-05
108,2.05561,0.02128,0.0187311,6.69124e-05
109,2.07688,0.0215,0.0188371,6.49636e-05
110,2.09838,0.02172,0.0185677,6.82276e-05
111,2.12009,0.02194,0.0187684,7.20801e-05
112,2.14204,0.02217,0.0187213,7.430439999999999e-05
113,2.16421,0.0224,0.0185147,7.430439999999999e-05
114,2.18661,0.02263,0.0188427,7.84996e-05
115,2.20924,0.02287,0.0188037,8.046090000000001e-05
116,2.2321,0.0231,0.0188071,8.574759999999998e-05
117,2.2552,0.02334,0.0185549,8.574759999999998e-05
118,2.27854,0.02358,0.0188379,8.817210000000002e-05
119,2.30213,0.02383,0.0186761,9.27369e-05
120,2.32595,0.02407,0.0192081,0.0001
121,2.35003,0.02432,0.018924399999999997,0.0001071225
122,2.37435,0.02457,0.0188797,0.0001142761
123,2.39892,0.02483,0.0186805,0.00011491840000000001
124,2.42375,0.02509,0.018697699999999998,0.0001214404
125,2.44884,0.02535,0.0189554,0.0001274641
126,2.47418,0.02561,0.0189764,0.0001359556
127,2.49979,0.02587,0.019462,0.00013947609999999998
128,2.52566,0.02614,0.019159600000000002,0.0001510441
129,2.5518,0.02641,0.0192986,0.00015376
130,2.57821,0.02668,0.019166700000000002,0.0001658944
131,2.6049,0.02696,0.018963,0.0001635841
132,2.63186,0.02724,0.0195758,0.0001776889
133,2.6591,0.02752,0.0191791,0.00017795559999999997
134,2.68662,0.02781,0.019424,0.00018279040000000003
135,2.71443,0.02809,0.0198366,0.0001951609
136,2.74252,0.02838,0.019212800000000002,0.00021874409999999997
137,2.7709,0.02868,0.0191446,0.00022260639999999998
138,2.79958,0.02868,0.0196945,0.00026536409999999996
